"Expresión","Resultado","Fecha"
"6+32"," 38.0","2023-10-26 17:29:49"
"true"," true","2023-10-26 17:30:10"
"0-3"," -3.0","2023-10-26 17:30:43"
"6+3"," 9.0","2023-10-26 17:58:38"
"(25)"," 25.0","2023-10-26 18:01:53"
"2-25"," -23.0","2023-10-26 18:02:38"
"2-28"," -26.0","2023-10-26 18:03:59"
"6-28"," -22.0","2023-10-26 18:12:39"
"5-28"," -23.0","2023-10-26 18:13:41"
"8-28"," -20.0","2023-10-26 18:14:17"
"-28"," -28.0","2023-10-26 18:14:20"
"-9.36"," -9.36","2023-10-26 18:14:28"
"-25"," -25.0","2023-10-26 18:43:07"
"6-25"," -19.0","2023-10-26 18:43:11"
"6-20"," -14.0","2023-10-26 18:47:13"
"6+(20)"," 26.0","2023-10-26 18:48:08"
"6*(20)"," 120.0","2023-10-26 18:48:11"
"6/(20)"," 0.3","2023-10-26 18:48:16"
"6%(20)"," 1.2","2023-10-26 18:48:21"
"6*(20)"," 120.0","2023-10-26 18:51:48"
"6+(20)"," 26.0","2023-10-26 18:52:32"
"6+(20)"," 26.0","2023-10-26 18:54:23"
"6+(20)*36"," 726.0","2023-10-26 18:54:27"
"-36"," -36.0","2023-10-26 18:54:31"
"6-36"," -30.0","2023-10-26 18:58:06"
"(6-36)*(25)"," -750.0","2023-10-26 18:58:15"
"(30)*(25)"," 750.0","2023-10-26 18:58:24"
"(30)*(25)/5"," 150.0","2023-10-26 18:58:37"
"(30)*(25)/5*5"," 750.0","2023-10-26 18:58:44"
"6^2"," 36.0","2023-10-26 18:58:54"
"5 * 3 / 8 + (95 % 5 – 10)"," 95.5","2023-10-26 18:59:52"
"(5 * (10 - 15)) + 7)"," -18.0","2023-10-26 19:00:02"
"(5 * 7) + (12/6)"," 37.0","2023-10-26 19:00:13"
"-26"," -26.0","2023-10-26 19:00:20"
"-5"," -5.0","2023-10-26 19:06:05"
"-5+6"," 1.0","2023-10-26 19:06:08"
"-5*6"," -30.0","2023-10-26 19:06:15"
"-5/6"," -0.8333333333333334","2023-10-26 19:06:20"
"(true&false)|false"," false","2023-10-26 19:15:01"
"(true&false)|false|true"," true","2023-10-26 19:15:07"
"((true&false)|false)|true"," true","2023-10-26 19:15:13"
"((true&false)|false)|false"," false","2023-10-26 19:15:17"
